l1_size,cpu,ipc,power_mw,efficiency_ipc_per_mw
1kB,A7,0.239635,100,0.002396
2kB,A7,0.250125,100,0.002501
4kB,A7,0.260907,100,0.002609
8kB,A7,0.280154,100,0.002802
16kB,A7,0.286660,100,0.002867
2kB,A15,0.676030,500,0.001352
4kB,A15,0.739640,500,0.001479
8kB,A15,0.918191,500,0.001836
16kB,A15,0.986496,500,0.001973
32kB,A15,1.109311,500,0.002219
